# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
005794c10a4237de3907ba4a44d436078d3c06c2,NONE,none,e
0081ea0d25bc5cd8d70b60ad8cfdc7307812c0fd,NONE,none,e
010d5f325fc38c5b590841d15ce4f07d59f2a4cb,MIRRORED,none,j
01600d06d83072d4e757b29728555efde2c79705,NONE,none,e
018d7a5222f28514908fb1b1513286a6558a6d05,NONE,none,e
02155fc25c9bd23e1654fe81c74486351e1ecc28,NONE,none,e
0274dd9b5096065a7f4ed019101124c9bd1d56b8,NONE,none,e
0287b2ec897b9196788cd9f10c99e1487d7adbbb,NONE,none,e
02a2fafc7b9249db76803ece347ba73be25f71b5,NONE,basic,j
02ee1a32d48525cc29440608666bfdfe77507888,NONE,none,e
03556d380a9bd413faf1b9e3cbd7da47c7238775,NONE,none,e
03bf6d2ac86f5c9ab618e155442787c700f99fed,NONE,none,e
0413bb3aeacb0c28429b8c85b42796dbe48bef6d,KONAMI_SCC,none,e
04990aa1c3a3fc7294ec884b81deaa89832df614,NONE,none,e
0527fb75775caa76c7eca8d449938ace83d36e96,NONE,none,e
05d7016f39e94bf9fc33d0e8482ff3038d6e01bd,PAGE2,basic,j
073feb8bb645d935e099afaf61e6f04f52adee42,NONE,none,e
07758272df475e5e06187aa3574241df1b14035b,NONE,none,e
077bdfff644b931b6a13bab8ab847aee766d163e,NONE,none,e
09db7369e42b50641ae1a8622428909c17d23180,NONE,none,e
09f7d788698a23aa7eec140237e907d4c37cbfe0,NONE,none,e
09fbbd923e0deb82f5e20fa8ce2d842adbf4a646,MIRRORED,none,j
0b379610cb7085005a56b24a0890b79dd5a7e817,RTYPE,none,j
0b8ab9497924547b6afbddb17013dd5d84efebb9,NONE,none,e
0cbe0df4af45e8f531e9c761403ac9e71808f20c,NONE,none,e
0d2f86dbb70f4b4a4e4dc1bc95df232f48856037,ASCII16,none,e
0d459788b6c464b50cbc2436e67a2cef248e0c4a,KONAMI_SCC,none,e
0dde59e8d98fa524961cd37b0e100dbfb42cf576,NONE,none,e
0de3c802057560560a03d7965fcc4cff69f8575c,NONE,none,e
0e081572f84555dc13bdb0c7044a19d6c164d985,NONE,none,e
0f4f09f1a6ef7535b243afabfb44a3a0eb0498d9,NONE,none,e
0f5798850d11b316a4254b222ca08cc4ad6d4da2,NONE,none,e
0f851ee7a1cf79819f61cc89e9948ee72a413802,NONE,none,e
0fbd45ef3dd7bb82d4c31f1947884f411f1ca344,NONE,none,e
10349ce675f6d6d47f0976e39cb7188eba858d89,NONE,none,e
12880dd7ad82acf04861843fb9d4f0f926d18f6b,KONAMI_SCC,none,e
12f2cc79b3d09723840bae774be48c0d721ec1c6,NONE,none,e
1566532146fcfc28c707753777c66585dc12418a,NONE,none,e
16351e6a7d7fc38c23b54ee15ac6f0275621ba96,ASCII8,none,e
171b587bd5a947a13f3114120b6e7baca3b57d78,NONE,none,e
174c9254f09d99361ff7607630248ff9d7d8d4d6,NONE,none,e
17fbbf2aa6a336454f9bd6f3f2b7b17bbe28c072,NONE,none,e
1804cfbc4f175136b7b934b575d49cbc0e726ffe,MIRRORED,none,e
181bf58da7184e128cd419da3109b93344a543cf,NONE,none,e
